Drone_ID,Elapsed_ms,Pitch,Roll,Yaw,Velocity_ms,Altitude_m,GPR_Score,Deviation_Flag,Detected_Mine_ID,Camera_Frame_URL,Pos_X,Pos_Y,Pos_Z
drone_1,0,-0.0135,-0.0006,-2.8829,5.039,36.38,0.9719,1,80,http://internal-drone-net/cam/drone_1/frame_00000000.jpg,99.5149,279.8787,36.38
drone_2,0,-0.0133,-0.0182,0.2791,5.1467,37.81,0.9601,1,80,http://internal-drone-net/cam/drone_2/frame_00000000.jpg,100.4851,280.1213,37.81
drone_1,100,0.0164,0.0043,0.2333,5.1415,34.48,0.9853,0,80,http://internal-drone-net/cam/drone_1/frame_00000100.jpg,100.0001,279.9997,34.48
drone_2,100,-0.0378,0.001,0.1214,5.0154,37.16,0.9608,0,80,http://internal-drone-net/cam/drone_2/frame_00000100.jpg,100.9792,280.1978,37.16
drone_1,200,0.0333,-0.0367,0.2191,4.8445,25.59,0.9959,0,80,http://internal-drone-net/cam/drone_1/frame_00000200.jpg,100.4852,280.1206,25.59
drone_2,200,0.0181,0.0212,0.1753,4.9655,31.09,0.9963,0,80,http://internal-drone-net/cam/drone_2/frame_00000200.jpg,101.4733,280.2743,31.09
drone_1,300,-0.0041,-0.0239,0.2125,4.8901,31.53,0.9943,0,80,http://internal-drone-net/cam/drone_1/frame_00000300.jpg,100.9704,280.2415,31.53
drone_2,300,0.0175,0.0134,0.0877,5.0962,34.99,0.9784,0,80,http://internal-drone-net/cam/drone_2/frame_00000300.jpg,101.9674,280.3508,34.99
drone_1,400,-0.0195,0.0184,0.2574,4.982,32.0,0.9683,0,80,http://internal-drone-net/cam/drone_1/frame_00000400.jpg,101.4556,280.3625,32.0
drone_2,400,0.035,0.0118,0.1856,5.127,30.73,0.9875,0,80,http://internal-drone-net/cam/drone_2/frame_00000400.jpg,102.4615,280.4273,30.73
drone_1,500,-0.0273,0.0123,0.1893,5.2165,32.0,0.9611,0,80,http://internal-drone-net/cam/drone_1/frame_00000500.jpg,101.9407,280.4834,32.0
drone_2,500,-0.0029,-0.0033,0.1473,4.885,28.14,0.9978,0,80,http://internal-drone-net/cam/drone_2/frame_00000500.jpg,102.9556,280.5039,28.14
drone_1,600,-0.0234,-0.0038,0.2721,5.0778,28.01,0.962,0,80,http://internal-drone-net/cam/drone_1/frame_00000600.jpg,102.4259,280.6043,28.01
drone_2,600,-0.0095,0.0113,0.1113,5.0706,38.45,0.9938,0,80,http://internal-drone-net/cam/drone_2/frame_00000600.jpg,103.4497,280.5804,38.45
drone_1,700,-0.0061,-0.0265,0.1857,4.9304,30.13,0.9718,0,80,http://internal-drone-net/cam/drone_1/frame_00000700.jpg,102.911,280.7252,30.13
drone_2,700,-0.0166,0.0046,-0.0737,5.0589,33.03,0.9969,0,80,http://internal-drone-net/cam/drone_2/frame_00000700.jpg,104.1298,280.5709,33.03
drone_1,800,0.0357,-0.0102,-0.1187,4.9125,26.53,0.977,0,80,http://internal-drone-net/cam/drone_1/frame_00000800.jpg,103.523,280.6859,26.53
drone_2,800,0.0012,0.0009,-0.0896,5.2865,38.22,0.9825,0,80,http://internal-drone-net/cam/drone_2/frame_00000800.jpg,104.6283,280.5333,38.22
drone_1,900,0.0287,0.0199,-0.1125,4.6261,27.55,0.993,0,80,http://internal-drone-net/cam/drone_1/frame_00000900.jpg,104.0183,280.6175,27.55
